No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,PRTLSwfLzpVGSAQiUfXEenJkq1cwTsEcsn1hPL9zwwg-So11111111111111111111111111111111111111112,PORTALS-SOL,PORTALS,PRTLSwfLzpVGSAQiUfXEenJkq1cwTsEcsn1hPL9zwwg,SOL,So11111111111111111111111111111111111111112,397024.68,8910215.05,8910214.81,175946.61,400,1,11,1,12,2
2,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump-So11111111111111111111111111111111111111112,grandma-SOL,grandma,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,SOL,So11111111111111111111111111111111111111112,61987.97,127893.67,127893.58,68554.24,400,1,5,1,6,2
3,39obbRw71cnYaCMvnWB5FeHyEaqJsWN3G4zAq1Ncpump-So11111111111111111111111111111111111111112,GAZA-SOL,GAZA,39obbRw71cnYaCMvnWB5FeHyEaqJsWN3G4zAq1Ncpump,SOL,So11111111111111111111111111111111111111112,9253.21,1642152.85,1642152.83,2992.84,400,1,4,1,5,2
