No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_day_volume,total_week_volume,total_month_volume,raydium_pool_count,meteora_pool_count,sum_of_raydium_and_meteora_pool_count,required_raydium_pool_count,required_sum_of_raydium_and_meteora_pool_count,required_total_day_volume,required_minimum_total_tvl
1,So11111111111111111111111111111111111111112-G9NuZu43iESYk4bGpEuPTfovzyoDFUgP6tdshHhGpump,WSOL-RIGHT,WSOL,So11111111111111111111111111111111111111112,RIGHT,G9NuZu43iESYk4bGpEuPTfovzyoDFUgP6tdshHhGpump,34622.59,13887.91,13887.91,13887.91,2,0,2,1,2,400,20000
2,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump-EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,gork-USDC,gork,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,100103.49,155438.82,155438.82,155438.82,2,12,14,1,2,400,20000
3,125FKUxLgRuVUkiJZoTvcNSuXhDJ8Hsaw8HBoreaSPL2-So11111111111111111111111111111111111111112,CODE-WSOL,CODE,125FKUxLgRuVUkiJZoTvcNSuXhDJ8Hsaw8HBoreaSPL2,WSOL,So11111111111111111111111111111111111111112,53693.64,465480.03,465480.03,465478.91,1,8,9,1,2,400,20000
